date,name,country
2021-01-01,New Year's Day,KR
2021-02-12,Korean New Year,KR
2021-02-11,The day preceding Korean New Year,KR
2021-02-13,The second day of Korean New Year,KR
2021-03-01,Independence Movement Day,KR
2021-05-19,Buddha's Birthday,KR
2021-05-05,Children's Day,KR
2021-06-06,Memorial Day,KR
2021-08-15,Liberation Day,KR
2021-10-03,National Foundation Day,KR
2021-10-09,Hangul Day,KR
2021-09-21,Chuseok,KR
2021-09-20,The day preceding Chuseok,KR
2021-09-22,The second day of Chuseok,KR
2021-12-25,Christmas Day,KR
2021-08-16,Alternative holiday for Liberation Day,KR
2021-10-04,Alternative holiday for National Foundation Day,KR
2021-10-11,Alternative holiday for Hangul Day,KR
