date,name,country
2020-01-01,New Year's Day,KR
2020-01-25,Korean New Year,KR
2020-01-24,The day preceding Korean New Year,KR
2020-01-26,The second day of Korean New Year,KR
2020-03-01,Independence Movement Day,KR
2020-04-30,Buddha's Birthday,KR
2020-05-05,Children's Day,KR
2020-06-06,Memorial Day,KR
2020-08-15,Liberation Day,KR
2020-10-03,National Foundation Day,KR
2020-10-09,Hangul Day,KR
2020-10-01,Chuseok,KR
2020-09-30,The day preceding Chuseok,KR
2020-10-02,The second day of Chuseok,KR
2020-12-25,Christmas Day,KR
2020-04-15,National Assembly Election Day,KR
2020-01-27,Alternative holiday for Korean New Year,KR
2020-08-17,Temporary Public Holiday,KR
