date,name,country
2019-01-01,New Year's Day,KR
2019-02-05,Korean New Year,KR
2019-02-04,The day preceding Korean New Year,KR
2019-02-06,The second day of Korean New Year,KR
2019-03-01,Independence Movement Day,KR
2019-05-12,Buddha's Birthday,KR
2019-05-05,Children's Day,KR
2019-06-06,Memorial Day,KR
2019-08-15,Liberation Day,KR
2019-10-03,National Foundation Day,KR
2019-10-09,Hangul Day,KR
2019-09-13,Chuseok,KR
2019-09-12,The day preceding Chuseok,KR
2019-09-14,The second day of Chuseok,KR
2019-12-25,Christmas Day,KR
2019-05-06,Alternative holiday for Children's Day,KR
