date,name,country
2019-01-01,New Year's Day,US
2019-05-27,Memorial Day,US
2019-07-04,Independence Day,US
2019-09-02,Labor Day,US
2019-11-11,Veterans Day,US
2019-11-28,Thanksgiving Day,US
2019-12-25,Christmas Day,US
2019-01-21,Martin Luther King Jr. Day,US
2019-02-18,Washington's Birthday,US
2019-10-14,Columbus Day,US
