date,name,country
2023-01-01,New Year's Day,KR
2023-01-22,Korean New Year,KR
2023-01-21,The day preceding Korean New Year,KR
2023-01-23,The second day of Korean New Year,KR
2023-03-01,Independence Movement Day,KR
2023-05-27,Buddha's Birthday,KR
2023-05-05,Children's Day,KR
2023-06-06,Memorial Day,KR
2023-08-15,Liberation Day,KR
2023-10-03,National Foundation Day,KR
2023-10-09,Hangul Day,KR
2023-09-29,Chuseok,KR
2023-09-28,The day preceding Chuseok,KR
2023-09-30,The second day of Chuseok,KR
2023-12-25,Christmas Day,KR
2023-01-24,Alternative holiday for Korean New Year,KR
2023-05-29,Alternative holiday for Buddha's Birthday,KR
2023-10-02,Temporary Public Holiday,KR
