date,name,country
2023-01-01,New Year's Day,US
2023-01-02,New Year's Day (observed),US
2023-05-29,Memorial Day,US
2023-06-19,Juneteenth National Independence Day,US
2023-07-04,Independence Day,US
2023-09-04,Labor Day,US
2023-11-11,Veterans Day,US
2023-11-10,Veterans Day (observed),US
2023-11-23,Thanksgiving Day,US
2023-12-25,Christmas Day,US
2023-01-16,Martin Luther King Jr. Day,US
2023-02-20,Washington's Birthday,US
2023-10-09,Columbus Day,US
