date,name,country
2018-01-01,New Year's Day,US
2018-05-28,Memorial Day,US
2018-07-04,Independence Day,US
2018-09-03,Labor Day,US
2018-11-11,Veterans Day,US
2018-11-12,Veterans Day (observed),US
2018-11-22,Thanksgiving Day,US
2018-12-25,Christmas Day,US
2018-01-15,Martin Luther King Jr. Day,US
2018-02-19,Washington's Birthday,US
2018-10-08,Columbus Day,US
