date,name,country
2020-01-01,New Year's Day,US
2020-05-25,Memorial Day,US
2020-07-04,Independence Day,US
2020-07-03,Independence Day (observed),US
2020-09-07,Labor Day,US
2020-11-11,Veterans Day,US
2020-11-26,Thanksgiving Day,US
2020-12-25,Christmas Day,US
2020-01-20,Martin Luther King Jr. Day,US
2020-02-17,Washington's Birthday,US
2020-10-12,Columbus Day,US
