date,name,country
2018-01-01,New Year's Day,KR
2018-02-16,Korean New Year,KR
2018-02-15,The day preceding Korean New Year,KR
2018-02-17,The second day of Korean New Year,KR
2018-03-01,Independence Movement Day,KR
2018-05-22,Buddha's Birthday,KR
2018-05-05,Children's Day,KR
2018-06-06,Memorial Day,KR
2018-08-15,Liberation Day,KR
2018-10-03,National Foundation Day,KR
2018-10-09,Hangul Day,KR
2018-09-24,Chuseok,KR
2018-09-23,The day preceding Chuseok,KR
2018-09-25,The second day of Chuseok,KR
2018-12-25,Christmas Day,KR
2018-06-13,Local Election Day,KR
2018-05-07,Alternative holiday for Children's Day,KR
2018-09-26,Alternative holiday for Chuseok,KR
