date,name,country
2024-01-01,New Year's Day,KR
2024-02-10,Korean New Year,KR
2024-02-09,The day preceding Korean New Year,KR
2024-02-11,The second day of Korean New Year,KR
2024-03-01,Independence Movement Day,KR
2024-05-15,Buddha's Birthday,KR
2024-05-05,Children's Day,KR
2024-06-06,Memorial Day,KR
2024-08-15,Liberation Day,KR
2024-10-03,National Foundation Day,KR
2024-10-09,Hangul Day,KR
2024-09-17,Chuseok,KR
2024-09-16,The day preceding Chuseok,KR
2024-09-18,The second day of Chuseok,KR
2024-12-25,Christmas Day,KR
2024-04-10,National Assembly Election Day,KR
2024-02-12,Alternative holiday for Korean New Year,KR
2024-05-06,Alternative holiday for Children's Day,KR
2024-10-01,Armed Forces Day,KR
