month,company_id,export_amt,import_amt,net_exposure,hedge_ratio,policy_version
2023-09-30,5,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,5,0.0,0.0,0.0,0.0,ML_enhanced
2023-11-30,5,0.0,1600000.0,-1600000.0,0.8,ML_enhanced
2023-12-31,5,0.0,1900000.0,-1900000.0,0.8,ML_enhanced
2024-01-31,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-02-29,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-03-31,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-04-30,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-05-31,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,5,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,5,0.0,8100000.0,-8100000.0,0.8,ML_enhanced
2022-02-28,6,0.0,100000.0,-100000.0,0.5,ML_enhanced
2022-03-31,6,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,6,0.0,140000.0,-140000.0,0.5,ML_enhanced
2022-05-31,6,0.0,100000.0,-100000.0,0.5,ML_enhanced
2022-06-30,6,0.0,160000.0,-160000.0,0.5,ML_enhanced
2022-07-31,6,0.0,140000.0,-140000.0,0.5,ML_enhanced
2022-08-31,6,0.0,60000.0,-60000.0,0.3,ML_enhanced
2022-02-28,7,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-03-31,7,0.0,80000.0,-80000.0,0.3,ML_enhanced
2022-04-30,7,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-05-31,7,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-01-31,8,220000.0,0.0,220000.0,0.5,ML_enhanced
2022-02-28,8,10000.0,0.0,10000.0,0.3,ML_enhanced
2022-03-31,8,20000.0,0.0,20000.0,0.3,ML_enhanced
2022-01-31,9,0.0,100000.0,-100000.0,0.5,ML_enhanced
2022-02-28,9,0.0,0.0,0.0,0.0,ML_enhanced
2022-03-31,9,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-04-30,9,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-05-31,9,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-01-31,10,60000.0,0.0,60000.0,0.3,ML_enhanced
2022-02-28,10,200000.0,0.0,200000.0,0.5,ML_enhanced
2022-03-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,10,0.0,0.0,0.0,0.0,ML_enhanced
2022-05-31,10,50000.0,0.0,50000.0,0.3,ML_enhanced
2022-06-30,10,30000.0,0.0,30000.0,0.3,ML_enhanced
2022-07-31,10,80000.0,0.0,80000.0,0.3,ML_enhanced
2022-08-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2022-09-30,10,70000.0,0.0,70000.0,0.3,ML_enhanced
2022-10-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2022-11-30,10,60000.0,0.0,60000.0,0.3,ML_enhanced
2022-12-31,10,10000.0,0.0,10000.0,0.3,ML_enhanced
2023-01-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-02-28,10,30000.0,0.0,30000.0,0.3,ML_enhanced
2023-03-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-04-30,10,70000.0,0.0,70000.0,0.3,ML_enhanced
2023-05-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-06-30,10,10000.0,0.0,10000.0,0.3,ML_enhanced
2023-07-31,10,20000.0,0.0,20000.0,0.3,ML_enhanced
2023-08-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-09-30,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,10,10000.0,0.0,10000.0,0.3,ML_enhanced
2023-11-30,10,0.0,0.0,0.0,0.0,ML_enhanced
2023-12-31,10,30000.0,0.0,30000.0,0.3,ML_enhanced
2024-01-31,10,10000.0,0.0,10000.0,0.3,ML_enhanced
2024-02-29,10,0.0,0.0,0.0,0.0,ML_enhanced
2024-03-31,10,20000.0,0.0,20000.0,0.3,ML_enhanced
2024-04-30,10,30000.0,0.0,30000.0,0.3,ML_enhanced
2024-05-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,10,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,10,50000.0,0.0,50000.0,0.3,ML_enhanced
2024-08-31,10,0.0,0.0,0.0,0.0,ML_enhanced
2024-09-30,10,30000.0,0.0,30000.0,0.3,ML_enhanced
2024-10-31,10,10000.0,0.0,10000.0,0.3,ML_enhanced
2024-11-30,10,0.0,0.0,0.0,0.0,ML_enhanced
2024-12-31,10,50000.0,0.0,50000.0,0.3,ML_enhanced
2022-01-31,11,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-02-28,11,120000.0,0.0,120000.0,0.5,ML_enhanced
2022-03-31,11,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-04-30,11,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-05-31,11,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-06-30,11,230000.0,0.0,230000.0,0.5,ML_enhanced
2022-07-31,11,420000.0,0.0,420000.0,0.5,ML_enhanced
2022-08-31,11,180000.0,0.0,180000.0,0.5,ML_enhanced
2022-09-30,11,130000.0,0.0,130000.0,0.5,ML_enhanced
2022-10-31,11,20000.0,0.0,20000.0,0.3,ML_enhanced
2022-01-31,12,130000.0,0.0,130000.0,0.5,ML_enhanced
2022-02-28,12,20000.0,0.0,20000.0,0.3,ML_enhanced
2022-03-31,12,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,12,40000.0,0.0,40000.0,0.3,ML_enhanced
2022-05-31,12,120000.0,0.0,120000.0,0.5,ML_enhanced
2022-06-30,12,60000.0,0.0,60000.0,0.3,ML_enhanced
2022-07-31,12,290000.0,0.0,290000.0,0.5,ML_enhanced
2022-08-31,12,20000.0,0.0,20000.0,0.3,ML_enhanced
2022-09-30,12,140000.0,0.0,140000.0,0.5,ML_enhanced
2022-10-31,12,10000.0,0.0,10000.0,0.3,ML_enhanced
2022-11-30,12,30000.0,0.0,30000.0,0.3,ML_enhanced
2022-12-31,12,40000.0,0.0,40000.0,0.3,ML_enhanced
2023-01-31,12,140000.0,0.0,140000.0,0.5,ML_enhanced
2023-02-28,12,340000.0,0.0,340000.0,0.5,ML_enhanced
2023-03-31,12,270000.0,0.0,270000.0,0.5,ML_enhanced
2023-04-30,12,90000.0,0.0,90000.0,0.3,ML_enhanced
2023-05-31,12,220000.0,0.0,220000.0,0.5,ML_enhanced
2023-06-30,12,70000.0,0.0,70000.0,0.3,ML_enhanced
2023-07-31,12,160000.0,0.0,160000.0,0.5,ML_enhanced
2023-08-31,12,40000.0,0.0,40000.0,0.3,ML_enhanced
2023-09-30,12,150000.0,0.0,150000.0,0.5,ML_enhanced
2023-10-31,12,210000.0,0.0,210000.0,0.5,ML_enhanced
2023-11-30,12,280000.0,0.0,280000.0,0.5,ML_enhanced
2023-12-31,12,90000.0,0.0,90000.0,0.3,ML_enhanced
2024-01-31,12,20000.0,0.0,20000.0,0.3,ML_enhanced
2024-02-29,12,330000.0,0.0,330000.0,0.5,ML_enhanced
2024-03-31,12,220000.0,0.0,220000.0,0.5,ML_enhanced
2024-04-30,12,160000.0,0.0,160000.0,0.5,ML_enhanced
2024-05-31,12,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,12,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,12,240000.0,0.0,240000.0,0.5,ML_enhanced
2024-08-31,12,100000.0,0.0,100000.0,0.5,ML_enhanced
2024-09-30,12,180000.0,0.0,180000.0,0.5,ML_enhanced
2024-10-31,12,170000.0,0.0,170000.0,0.5,ML_enhanced
2024-11-30,12,10000.0,0.0,10000.0,0.3,ML_enhanced
2024-12-31,12,230000.0,0.0,230000.0,0.5,ML_enhanced
2022-01-31,13,0.0,80000.0,-80000.0,0.3,ML_enhanced
2022-02-28,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-03-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-05-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-06-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-07-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-08-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-09-30,13,0.0,240000.0,-240000.0,0.5,ML_enhanced
2022-10-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-11-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2022-12-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-01-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-02-28,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-03-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-04-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-05-31,13,0.0,80000.0,-80000.0,0.3,ML_enhanced
2023-06-30,13,0.0,140000.0,-140000.0,0.5,ML_enhanced
2023-07-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-08-31,13,0.0,30000.0,-30000.0,0.3,ML_enhanced
2023-09-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-11-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2023-12-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-01-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-02-29,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-03-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-04-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-05-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-08-31,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-09-30,13,0.0,0.0,0.0,0.0,ML_enhanced
2024-10-31,13,0.0,230000.0,-230000.0,0.5,ML_enhanced
2024-11-30,13,90000.0,10000.0,80000.0,0.3,ML_enhanced
2024-12-31,13,60000.0,0.0,60000.0,0.3,ML_enhanced
2022-01-31,14,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-02-28,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-03-31,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-05-31,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-06-30,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-07-31,14,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-08-31,14,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-09-30,14,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-10-31,14,0.0,0.0,0.0,0.0,ML_enhanced
2022-11-30,14,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-12-31,14,0.0,10000.0,-10000.0,0.3,ML_enhanced
2023-01-31,14,0.0,20000.0,-20000.0,0.3,ML_enhanced
2023-02-28,14,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-01-31,15,50000.0,0.0,50000.0,0.3,ML_enhanced
2022-02-28,15,60000.0,10000.0,50000.0,0.3,ML_enhanced
2022-03-31,15,0.0,0.0,0.0,0.0,ML_enhanced
2022-04-30,15,0.0,0.0,0.0,0.0,ML_enhanced
2022-05-31,15,90000.0,50000.0,40000.0,0.3,ML_enhanced
2022-06-30,15,50000.0,10000.0,40000.0,0.3,ML_enhanced
2022-07-31,15,100000.0,10000.0,90000.0,0.3,ML_enhanced
2022-08-31,15,0.0,0.0,0.0,0.0,ML_enhanced
2022-09-30,15,0.0,0.0,0.0,0.0,ML_enhanced
2022-10-31,15,90000.0,0.0,90000.0,0.3,ML_enhanced
2022-11-30,15,270000.0,0.0,270000.0,0.5,ML_enhanced
2022-12-31,15,0.0,0.0,0.0,0.0,ML_enhanced
2023-01-31,15,20000.0,0.0,20000.0,0.3,ML_enhanced
2023-02-28,15,20000.0,0.0,20000.0,0.3,ML_enhanced
2023-03-31,15,120000.0,0.0,120000.0,0.5,ML_enhanced
2023-04-30,15,50000.0,0.0,50000.0,0.3,ML_enhanced
2023-05-31,15,20000.0,0.0,20000.0,0.3,ML_enhanced
2023-06-30,15,50000.0,0.0,50000.0,0.3,ML_enhanced
2023-07-31,15,100000.0,0.0,100000.0,0.5,ML_enhanced
2023-08-31,15,10000.0,0.0,10000.0,0.3,ML_enhanced
2023-09-30,15,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,15,60000.0,0.0,60000.0,0.3,ML_enhanced
2023-11-30,15,0.0,0.0,0.0,0.0,ML_enhanced
2023-12-31,15,10000.0,0.0,10000.0,0.3,ML_enhanced
2024-01-31,15,50000.0,0.0,50000.0,0.3,ML_enhanced
2024-02-29,15,110000.0,0.0,110000.0,0.5,ML_enhanced
2024-03-31,15,20000.0,0.0,20000.0,0.3,ML_enhanced
2022-01-31,16,0.0,280000.0,-280000.0,0.5,ML_enhanced
2022-02-28,16,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-01-31,17,30000.0,20000.0,10000.0,0.3,ML_enhanced
2022-02-28,17,70000.0,0.0,70000.0,0.3,ML_enhanced
2022-01-31,18,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-01-31,19,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-02-28,19,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-03-31,19,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-04-30,19,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-05-31,19,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-06-30,19,10000.0,40000.0,-30000.0,0.3,ML_enhanced
2022-07-31,19,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-08-31,19,0.0,0.0,0.0,0.0,ML_enhanced
2022-09-30,19,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-10-31,19,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-11-30,19,0.0,40000.0,-40000.0,0.3,ML_enhanced
2022-12-31,19,0.0,0.0,0.0,0.0,ML_enhanced
2023-01-31,19,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-02-28,19,0.0,0.0,0.0,0.0,ML_enhanced
2023-03-31,19,0.0,20000.0,-20000.0,0.3,ML_enhanced
2023-04-30,19,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-05-31,19,0.0,30000.0,-30000.0,0.3,ML_enhanced
2023-06-30,19,0.0,40000.0,-40000.0,0.3,ML_enhanced
2023-07-31,19,0.0,30000.0,-30000.0,0.3,ML_enhanced
2023-08-31,19,0.0,50000.0,-50000.0,0.3,ML_enhanced
2023-09-30,19,0.0,70000.0,-70000.0,0.3,ML_enhanced
2023-10-31,19,0.0,20000.0,-20000.0,0.3,ML_enhanced
2023-11-30,19,0.0,80000.0,-80000.0,0.3,ML_enhanced
2023-12-31,19,0.0,60000.0,-60000.0,0.3,ML_enhanced
2024-01-31,19,0.0,40000.0,-40000.0,0.3,ML_enhanced
2024-02-29,19,0.0,110000.0,-110000.0,0.5,ML_enhanced
2024-03-31,19,0.0,0.0,0.0,0.0,ML_enhanced
2024-04-30,19,0.0,0.0,0.0,0.0,ML_enhanced
2024-05-31,19,0.0,0.0,0.0,0.0,ML_enhanced
2024-06-30,19,0.0,10000.0,-10000.0,0.3,ML_enhanced
2024-07-31,19,0.0,90000.0,-90000.0,0.3,ML_enhanced
2024-08-31,19,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-01-31,20,1900000.0,0.0,1900000.0,0.8,ML_enhanced
2022-02-28,20,0.0,470000.0,-470000.0,0.5,ML_enhanced
2022-03-31,20,1000000.0,1100000.0,-100000.0,0.5,ML_enhanced
2022-04-30,20,2000000.0,2500000.0,-500000.0,0.5,ML_enhanced
2022-05-31,20,1500000.0,980000.0,520000.0,0.5,ML_enhanced
2022-06-30,20,0.0,550000.0,-550000.0,0.5,ML_enhanced
2022-02-28,21,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-03-31,21,0.0,530000.0,-530000.0,0.5,ML_enhanced
2022-04-30,21,0.0,90000.0,-90000.0,0.3,ML_enhanced
2022-05-31,21,0.0,20000.0,-20000.0,0.3,ML_enhanced
2022-06-30,21,0.0,30000.0,-30000.0,0.3,ML_enhanced
2022-07-31,21,0.0,80000.0,-80000.0,0.3,ML_enhanced
2022-08-31,21,0.0,50000.0,-50000.0,0.3,ML_enhanced
2022-01-31,22,0.0,150000.0,-150000.0,0.5,ML_enhanced
2022-01-31,23,0.0,220000.0,-220000.0,0.5,ML_enhanced
2022-02-28,23,0.0,290000.0,-290000.0,0.5,ML_enhanced
2022-03-31,23,0.0,270000.0,-270000.0,0.5,ML_enhanced
2022-04-30,23,0.0,290000.0,-290000.0,0.5,ML_enhanced
2022-05-31,23,0.0,130000.0,-130000.0,0.5,ML_enhanced
2022-06-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2022-07-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2022-08-31,23,0.0,70000.0,-70000.0,0.3,ML_enhanced
2022-09-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2022-10-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2022-11-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2022-12-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-01-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-02-28,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-03-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-04-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-05-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-06-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-07-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-08-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-09-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-10-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2023-11-30,23,0.0,10000.0,-10000.0,0.3,ML_enhanced
2023-12-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2024-01-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2024-02-29,23,0.0,0.0,0.0,0.0,ML_enhanced
2024-03-31,23,0.0,10000.0,-10000.0,0.3,ML_enhanced
2024-04-30,23,0.0,20000.0,-20000.0,0.3,ML_enhanced
2024-05-31,23,0.0,40000.0,-40000.0,0.3,ML_enhanced
2024-06-30,23,0.0,0.0,0.0,0.0,ML_enhanced
2024-07-31,23,0.0,50000.0,-50000.0,0.3,ML_enhanced
2024-08-31,23,0.0,30000.0,-30000.0,0.3,ML_enhanced
2024-09-30,23,0.0,30000.0,-30000.0,0.3,ML_enhanced
2024-10-31,23,0.0,0.0,0.0,0.0,ML_enhanced
2024-11-30,23,0.0,10000.0,-10000.0,0.3,ML_enhanced
2022-01-31,24,600000.0,0.0,600000.0,0.5,ML_enhanced
2022-02-28,24,790000.0,0.0,790000.0,0.5,ML_enhanced
2022-03-31,24,710000.0,0.0,710000.0,0.5,ML_enhanced
2022-04-30,24,670000.0,0.0,670000.0,0.5,ML_enhanced
2022-05-31,24,1300000.0,0.0,1300000.0,0.8,ML_enhanced
2022-06-30,24,760000.0,0.0,760000.0,0.5,ML_enhanced
2022-07-31,24,1000000.0,0.0,1000000.0,0.8,ML_enhanced
2022-08-31,24,700000.0,0.0,700000.0,0.5,ML_enhanced
2022-09-30,24,1000000.0,0.0,1000000.0,0.8,ML_enhanced
2022-10-31,24,1000000.0,0.0,1000000.0,0.8,ML_enhanced
2022-11-30,24,750000.0,0.0,750000.0,0.5,ML_enhanced
