cluster_gmm,export_amt,import_amt,net_exposure
0,0.0,66261.26126126126,-66261.26126126126
1,0.0,1871983.4710743802,-1871983.4710743802
2,134619.9829205807,0.0,134619.9829205807
3,1793018.018018018,333265.76576576574,1459752.2522522523
