company_id,trades,pnl_sum,pnl_mean,pnl_std
1,14,-6395.764779540236,-456.8403413957312,2670.7928454708203
3,4,-2295.713168884692,-573.928292221173,722.5675523212096
4,24,-164.16850373077077,-6.840354322115449,80.58458187989466
5,10,-199737.52974781147,-19973.752974781146,28939.036724001868
6,5,-1559.3041775675938,-311.86083551351874,375.48825079088675
7,3,-13.176068903340052,-4.392022967780018,98.03746387512858
8,2,-802.4961729628461,-401.24808648142306,576.8873018990171
9,3,-422.9062252356946,-140.96874174523154,202.0674743244789
10,20,-375.6634113547141,-18.783170567735706,78.06167723011791
11,9,-1568.7570993170314,-174.30634436855905,270.62677227008356
12,32,-4811.205562241852,-150.35017382005788,314.8380381567873
13,7,-671.0310398738525,-95.86157712483607,344.41910362263746
14,7,-92.52460827828706,-13.217801182612437,35.226806053436945
15,19,-273.5323245574732,-14.396438134603853,134.74637194128223
16,1,-1029.8514668077098,-1029.8514668077098,
17,1,-22.068245717308066,-22.068245717308066,
19,25,-625.3694138118997,-25.014776552475986,56.922111512123436
20,5,-15944.801421773647,-3188.9602843547295,4733.978211022005
21,6,391.7943394553381,65.29905657588968,415.23923172338885
23,13,-2628.8115350689704,-202.21627192838235,580.9601583079425
24,11,-19614.56799888556,-1783.1425453532327,3469.0936577928323
25,1,-66.2047371519242,-66.2047371519242,
26,21,-3088.772355792978,-147.0843978949037,357.9427893244867
28,11,-3572.607150839406,-324.78246825812784,3099.596016797519
30,5,324.15153555944846,64.8303071118897,145.15474786343853
31,12,-83.20457553979531,-6.9337146283162765,17.246181018551482
32,29,-5835.752319164885,-201.2328385918926,660.1578214481225
33,21,-2130.921833515802,-101.47246826265724,1073.4977103264796
34,6,-1911.140576714936,-318.5234294524893,803.7623212880961
35,8,-37657.488481303124,-4707.1860601628905,10456.546747579689
37,8,-174.67178928442226,-21.833973660552783,32.089440054569
39,7,-140.8453342759509,-20.120762039421557,25.615594360451713
41,1,-22.068245717308066,-22.068245717308066,
42,8,-2543.528622739732,-317.9410778424665,554.8313980518531
43,8,-139.03232826877337,-17.37904103359667,31.637916368352506
44,6,-2201.725638855755,-366.9542731426258,663.4801133883354
45,5,-5302.871855768764,-1060.574371153753,1964.2974036855016
46,7,-21932.940283525473,-3133.2771833607817,7401.226809432682
47,3,36.44271695495695,12.147572318318984,471.9650740454753
49,7,-2221.6918928702785,-317.3845561243255,491.6829874136665
52,16,-1159.4146503357458,-72.46341564598411,235.16315046414988
54,6,-1446.6952813969424,-241.11588023282374,401.31831901629437
55,7,-4306.218349484844,-615.1740499264063,1491.9408365594002
56,3,-91.20330344646234,-30.401101148820782,109.63175468247536
58,3,-100.99589975101833,-33.66529991700611,1439.1982410560802
59,18,-2403.4887264751114,-133.52715147083953,488.01204250854727
60,8,-3553.266119589064,-444.158264948633,358.0136744766391
