company_id,trade_month,fix_month,trade_date_bd,fix_date_bd,notional_usd,pnl_krw,actual_maturity_days,forward_price_30d,forward_price_adjusted,maturity_adjustment,status
1,2023-04-30,,2023-04-28,,4238.922505071116,0.0,,,,,open
2,2022-01-31,,2022-01-28,,24.504725408908428,0.0,,,,,open
3,2022-05-31,,2022-05-31,,2.742159456806416,0.0,,,,,open
4,2024-12-31,,2024-12-31,,8.064866222272194,0.0,,,,,open
5,2024-07-31,,2024-07-31,,5807.09462192444,0.0,,,,,open
6,2022-08-31,,2022-08-31,,16.58856536614197,0.0,,,,,open
7,2022-05-31,,2022-05-31,,10.968637827225663,0.0,,,,,open
8,2022-03-31,,2022-03-31,,5.454093731548858,0.0,,,,,open
9,2022-05-31,,2022-05-31,,5.484318913612832,0.0,,,,,open
10,2024-12-31,,2024-12-31,,13.44144370378699,0.0,,,,,open
11,2022-10-31,,2022-10-31,,5.5562463744935,0.0,,,,,open
12,2024-12-31,,2024-12-31,,103.05106839570024,0.0,,,,,open
13,2024-12-31,,2024-12-31,,16.129732444544388,0.0,,,,,open
14,2023-02-28,,2023-02-28,,2.7348096329354403,0.0,,,,,open
15,2024-03-31,,2024-03-29,,5.475588860977352,0.0,,,,,open
16,2022-02-28,,2022-02-28,,8.214763881887567,0.0,,,,,open
17,2022-02-28,,2022-02-28,,19.16778239107099,0.0,,,,,open
18,2022-01-31,,2022-01-28,,10.890989070625968,0.0,,,,,open
19,2024-08-31,,2024-08-30,,2.6943576284128357,0.0,,,,,open
20,2022-06-30,,2022-06-30,,253.17266661191596,0.0,,,,,open
21,2022-08-31,,2022-08-31,,13.823804471784975,0.0,,,,,open
22,2022-01-31,,2022-01-28,,68.06868169141231,0.0,,,,,open
23,2024-11-30,,2024-11-29,,2.70470632711295,0.0,,,,,open
24,2024-10-31,,2024-10-31,,21.709990190452096,0.0,,,,,open
25,2022-02-28,,2022-02-28,,10.953018509183423,0.0,,,,,open
26,2024-08-31,,2024-08-30,,8.083072885238508,0.0,,,,,open
27,2022-01-31,,2022-01-28,,381.1846174719089,0.0,,,,,open
28,2023-03-31,,2023-03-31,,5.455668586065999,0.0,,,,,open
29,2022-01-31,,2022-01-28,,204.2060450742369,0.0,,,,,open
30,2024-12-31,,2024-12-31,,89.60962469191325,0.0,,,,,open
31,2023-04-30,,2023-04-28,,2.7406826541408074,0.0,,,,,open
32,2024-11-30,,2024-11-29,,18.932944289790647,0.0,,,,,open
33,2024-05-31,,2024-05-31,,2.726178251644123,0.0,,,,,open
34,2024-06-30,,2024-06-28,,5.439578988286008,0.0,,,,,open
35,2023-04-30,,2023-04-28,,237.52583002553664,0.0,,,,,open
36,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
37,2024-09-30,,2024-09-30,,2.7018155314443613,0.0,,,,,open
38,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
39,2022-09-30,,2022-09-30,,5.530035542102655,0.0,,,,,open
40,2022-01-31,,2022-01-28,,2.722747267656492,0.0,,,,,open
41,2022-02-28,,2022-02-28,,13.691273136479278,0.0,,,,,open
42,2022-09-30,,2022-09-30,,115.20907379380532,0.0,,,,,open
43,2022-11-30,,2022-11-30,,2.7646148593489817,0.0,,,,,open
44,2022-08-31,,2022-08-31,,2.764760894356995,0.0,,,,,open
45,2022-06-30,,2022-06-30,,234.76010904014024,0.0,,,,,open
46,2022-08-31,,2022-08-31,,1105.904357742798,0.0,,,,,open
47,2022-04-30,,2022-04-29,,158.2658414457745,0.0,,,,,open
48,2022-01-31,,2022-01-28,,24.504725408908428,0.0,,,,,open
49,2022-09-30,,2022-09-30,,2.7650177710513275,0.0,,,,,open
50,2022-01-31,,2022-01-28,,49.91703324036902,0.0,,,,,open
51,2022-01-31,,2022-01-28,,45.3791211276082,0.0,,,,,open
52,2023-05-31,,2023-05-31,,10.940616809988587,0.0,,,,,open
53,2022-01-31,,2022-01-28,,16.33648360593895,0.0,,,,,open
54,2022-07-31,,2022-07-29,,45.99891130902021,0.0,,,,,open
55,2022-08-31,,2022-08-31,,64.51108753499655,0.0,,,,,open
56,2022-04-30,,2022-04-29,,5.426257420997983,0.0,,,,,open
57,2022-01-31,,2022-01-28,,217.81978141251938,0.0,,,,,open
58,2022-04-30,,2022-04-29,,10.852514841995966,0.0,,,,,open
59,2023-09-30,,2023-09-27,,77.62989714210849,0.0,,,,,open
60,2022-10-31,,2022-10-31,,13.89061593623375,0.0,,,,,open
61,2024-12-31,,2024-12-31,,2.6882887407573977,0.0,,,,,open
62,2024-12-31,,2024-12-31,,161.29732444544388,0.0,,,,,open
63,2022-04-30,,2022-04-29,,108.52514841995965,0.0,,,,,open
64,2022-03-31,,2022-03-31,,63.631093534736685,0.0,,,,,open
65,2022-02-28,,2022-02-28,,59.32885025807687,0.0,,,,,open
66,2022-10-31,,2022-10-31,,11.112492748987,0.0,,,,,open
67,2022-01-31,,2022-01-28,,127.06153915730296,0.0,,,,,open
68,2022-07-31,,2022-07-29,,436.989657435692,0.0,,,,,open
69,2023-07-31,,2023-07-31,,123.13611770927743,0.0,,,,,open
70,2022-10-31,,2022-10-31,,74.08328499324666,0.0,,,,,open
71,2022-10-31,,2022-10-31,,83.3436956174025,0.0,,,,,open
72,2022-12-31,,2022-12-30,,5.505552592707856,0.0,,,,,open
73,2022-02-28,,2022-02-28,,2.7382546272958557,0.0,,,,,open
74,2022-11-30,,2022-11-30,,281.06917736714644,0.0,,,,,open
75,2024-12-31,,2024-12-31,,2365.69409186651,0.0,,,,,open
76,2024-12-31,,2024-12-31,,407.72379234820534,0.0,,,,,open
77,2024-12-31,,2024-12-31,,49.28529358055229,0.0,,,,,open
78,2022-11-30,,2022-11-30,,11.058459437395927,0.0,,,,,open
79,2023-04-30,,2023-04-28,,21.92546123312646,0.0,,,,,open
80,2022-04-30,,2022-04-29,,76.87198013080476,0.0,,,,,open
81,2022-01-31,,2022-01-28,,58.992857465890665,0.0,,,,,open
82,2022-02-28,,2022-02-28,,8.214763881887567,0.0,,,,,open
83,2022-02-28,,2022-02-28,,278.3892204417453,0.0,,,,,open
84,2022-05-31,,2022-05-31,,2.742159456806416,0.0,,,,,open
85,2022-01-31,,2022-01-28,,145.21318760834623,0.0,,,,,open
86,2022-08-31,,2022-08-31,,55.2952178871399,0.0,,,,,open
87,2023-03-31,,2023-03-31,,2.7278342930329993,0.0,,,,,open
88,2022-10-31,,2022-10-31,,2.77812318724675,0.0,,,,,open
89,2023-02-28,,2023-02-28,,19.14366743054808,0.0,,,,,open
90,2024-10-31,,2024-10-31,,2.713748773806512,0.0,,,,,open
91,2024-12-31,,2024-12-31,,107.53154963029591,0.0,,,,,open
92,2024-08-31,,2024-08-30,,242.4921865571552,0.0,,,,,open
93,2022-03-31,,2022-03-31,,104.53679652135312,0.0,,,,,open
94,2022-03-31,,2022-03-31,,3963.3081115921705,0.0,,,,,open
95,2022-03-31,,2022-03-31,,90.90156219248098,0.0,,,,,open
96,2024-12-31,,2024-12-31,,10.75315496302959,0.0,,,,,open
97,2022-03-31,,2022-03-31,,2.727046865774429,0.0,,,,,open
98,2022-01-31,,2022-01-28,,1306.9186884751161,0.0,,,,,open
99,2022-04-30,,2022-04-29,,13.565643552494956,0.0,,,,,open
100,2022-09-30,,2022-09-30,,327.1937695744071,0.0,,,,,open
101,2022-10-31,,2022-10-31,,106.49472217779208,0.0,,,,,open
102,2022-01-31,,2022-01-28,,8.168241802969476,0.0,,,,,open
103,2024-05-31,,2024-05-31,,13.630891258220615,0.0,,,,,open
104,2022-01-31,,2022-01-28,,104.37197859349887,0.0,,,,,open
105,2022-02-28,,2022-02-28,,10.953018509183423,0.0,,,,,open
106,2022-04-30,,2022-04-29,,940.551286306317,0.0,,,,,open
