cluster_kmeans,export_amt,import_amt,net_exposure
0,125346.00534600535,153748.14374814375,-28402.138402138404
1,13175000.0,382250.0,12792750.0
2,0.0,81000000.0,-81000000.0
3,1566666.6666666667,30000000.0,-28433333.333333332
