period,dollar_offset,beta,alpha,r2,stderr_beta,t_beta,p_beta,bounds_low,bounds_high,r2_th,judgement
M,0.9978689987815869,1.0002425978642406,-2.2370395909732856,0.9999937238736571,0.00042974723319735565,2327.5137583140477,4.940461603247448e-90,0.85,1.15,0.9,Effective
Q,0.999740562912776,1.0005900920906954,-2.618685241550703,0.9999952982796604,0.0006860971509275689,1458.3796051884894,5.654385349728265e-28,0.85,1.15,0.9,Effective
